Id,title,last_reform_date,source,text,jurisdiction
7.00952,"SENTENCIAdictada 
                                por el 
                                Tribunal 
                                Pleno de la Suprema Corte de Justicia de la Nación en la Acción 
                                de Inconstitucionalidad 160/2023, así como los Votos 
                                Particulares de la señora Ministra Presidenta Norma Lucía Piña 
                                Hernández y del señor Ministro Javier Laynez Potisek.
                                
                                
                                
                                Nueva",17/09/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/952inconst_17sep24.doc,7.00952.txt,MX
7.00951,"SENTENCIA
				 
				
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 226/2023.",13/09/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/951inconst_13sep24.doc,7.00951.txt,MX
7.00950,"SENTENCIA
				 
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 60/2022, así como 
				el Voto Aclaratorio de la señora Ministra Ana Margarita Ríos 
				Farjat.",12/09/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/950inconst_12sep24.doc,7.00950.txt,MX
7.00949,"SENTENCIA
				 
				
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 111/2023.",11/09/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/949inconst_11sep24.doc,7.00949.txt,MX
7.00948,"SENTENCIA
				 
				
				
				dictada por el 
				Tribunal 
				Pleno de la Suprema Corte de Justicia de la Nación en la Acción 
				de Inconstitucionalidad 136/2022, así como el Voto Concurrente 
				de la señora Ministra Lenia Batres Guadarrama.",23/08/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/948inconst_23ago24.doc,7.00948.txt,MX
7.00947,"SENTENCIA dictada por el Tribunal Pleno de la Suprema Corte 
				de Justicia de la Nación en la Acción de Inconstitucionalidad 
				221/2023.",22/08/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/947inconst_22ago24.doc,7.00947.txt,MX
7.00946,"SENTENCIA
				 
				
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 205/2023, así 
				como los Votos Concurrente de la señora Ministra Yasmín Esquivel 
				Mossa y Concurrente y Particular de la señora Ministra 
				Presidenta Norma Lucía Piña Hernández.",20/08/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/946inconst_20ago24.doc,7.00946.txt,MX
7.00945,"SENTENCIA
				 
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 25/2024, así como 
				el Voto Concurrente de la señora Ministra Presidenta Norma Lucía 
				Piña Hernández.",15/08/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/945inconst_15ago24.doc,7.00945.txt,MX
7.00944,"SENTENCIA
				 
				
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 183/2020, así 
				como los Votos Particulares de las señoras Ministras Loretta 
				Ortiz Ahlf y Ana Margarita Ríos Farjat.",23/07/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/944inconst_23jul24.doc,7.00944.txt,MX
7.00943,"SENTENCIA
				 
				
				
				dictada por el 
				Tribunal 
				Pleno de la Suprema Corte de Justicia de la Nación en la Acción 
				de Inconstitucionalidad 39/2023.",17/07/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/943inconst_17jul24.doc,7.00943.txt,MX
7.00942,"SENTENCIA
				 
				
				
				dictada por el Tribunal Pleno de la Suprema Corte de Justicia de 
				la Nación en la Acción de Inconstitucionalidad 202/2023 y su 
				acumulada 210/2023, así como los Votos Particular de la señora 
				Ministra Ana Margarita Ríos Farjat, Concurrente y Particular de 
				la señora Ministra Loretta Ortiz Ahlf y Concurrente de la señora 
				Ministra Presidenta Norma Lucía Piña Hernández.",08/07/2024,https://www.diputados.gob.mx/LeyesBiblio/compila/inconst/942inconst_08jul24.doc,7.00942.txt,MX
