Id,file,jurisdiction,last_reform_date,source,title
8.00351,8.00351.txt,MX,2024-09-18,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/351controv_18sep24.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 84/2022, ASÍ COMO LOS VOTOS PARTICULAR DE LA SEÑORA MINISTRA PRESIDENTA NORMA LUCÍA PIÑA HERNÁNDEZ Y CONCURRENTES DE LOS SEÑORES MINISTROS JUAN LUIS GONZÁLEZ ALCÁNTARA CARRANCÁ Y JAVIER LAYNEZ POTISEK. NUEVA"
8.00350,8.00350.txt,MX,2024-08-19,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/350controv_19ago24.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 124/2022, ASÍ COMO LOS VOTOS CONCURRENTES DE LA SEÑORA MINISTRA LENIA BATRES GUADARRAMA Y DEL SEÑOR MINISTRO LUIS MARÍA AGUILAR MORALES Y PARTICULAR DE LA SEÑORA MINISTRA PRESIDENTA NORMA LUCÍA PIÑA HERNÁNDEZ."
8.00349,8.00349.txt,MX,2024-08-16,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/349controv_16ago24.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 152/2022, ASÍ COMO LOS VOTOS CONCURRENTE Y ACLARATORIO DE LA SEÑORA MINISTRA LENIA BATRES GUADARRAMA Y CONCURRENTE DEL SEÑOR MINISTRO LUIS MARÍA AGUILAR MORALES."
8.00348,8.00348.txt,MX,2024-06-26,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/348controv_26jun24.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 336/2023, ASÍ COMO EL VOTO PARTICULAR DE LA SEÑORA MINISTRA ANA MARGARITA RÍOS FARJAT."
8.00347,8.00347.txt,MX,2024-06-03,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/347controv_03jun24.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 119/2020, ASÍ COMO LOS VOTOS PARTICULAR Y CONCURRENTE DE LA SEÑORA MINISTRA PRESIDENTA NORMA LUCÍA PIÑA HERNÁNDEZ."
8.00346,8.00346.txt,MX,2024-01-29,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/346controv_29ene24.doc,SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 36/2023.
8.00345,8.00345.txt,MX,2023-12-22,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/345controv_22dic23.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 94/2021, ASÍ COMO LOS VOTOS PARTICULARES DE LA SEÑORA MINISTRA LORETTA ORTIZ AHLF Y DEL SEÑOR MINISTRO ARTURO ZALDÍVAR LELO DE LARREA, Y CONCURRENTES DE LA SEÑORA MINISTRA ANA MARGARITA RÍOS FARJAT Y DEL SEÑOR MINISTRO ALBERTO PÉREZ DAYÁN. ----- NOTA: DECLARA LA INVALIDEZ DEL DECRETO QUE EXPIDE LA LEY PARA LA TRANSPARENCIA, PREVENCIÓN Y COMBATE DE PRÁCTICAS INDEBIDAS EN MATERIA DE CONTRATACIÓN DE PUBLICIDAD."
8.00344,8.00344.txt,MX,2023-12-06,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/344controv_06dic23.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 276/2022, ASÍ COMO LOS VOTOS CONCURRENTES DE LA SEÑORA MINISTRA YASMÍN ESQUIVEL MOSSA Y DEL SEÑOR MINISTRO ALFREDO GUTIÉRREZ ORTIZ MENA."
8.00343,8.00343.txt,MX,2023-12-04,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/343controv_04dic23.doc,SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 214/2023.
8.00342,8.00342.txt,MX,2023-11-22,https://www.diputados.gob.mx/LeyesBiblio/compila/controv/342controv_22nov23.doc,"SENTENCIA DICTADA POR EL TRIBUNAL PLENO DE LA SUPREMA CORTE DE JUSTICIA DE LA NACIÓN EN LA CONTROVERSIA CONSTITUCIONAL 217/2021, ASÍ COMO LOS VOTOS PARTICULARES DE LA SEÑORA MINISTRA LORETTA ORTIZ AHLF Y DEL SEÑOR MINISTRO ARTURO ZALDÍVAR LELO DE LARREA, CONCURRENTE DEL SEÑOR MINISTRO ALFREDO GUTIÉRREZ ORTIZ MENA, Y CONCURRENTE Y ACLARATORIO DE LA SEÑORA MINISTRA ANA MARGARITA RÍOS FARJAT."
