Id,last_reform_date,title,source,text,jurisdiction
10.00001,26/09/2024,NOM-012-CONAGUA-2021,https://diariooficial.gob.mx/normasOficiales/9474/semarnat/semarnat.html,10.00001.txt,MX
10.00002,20/09/2024,NOM-EM-018-SCT3-2023,https://diariooficial.gob.mx/normasOficiales/9473/sict/sict.html,10.00002.txt,MX
10.00003,13/09/2024,PROY-NOM-018-SICT3-2024,https://diariooficial.gob.mx/normasOficiales/9472/sict/sict.html,10.00003.txt,MX
10.00004,10/09/2024,NOM-135- SEMARNAT-2004,https://diariooficial.gob.mx/normasOficiales/9471/semarnat/semarnat.html,10.00004.txt,MX
10.00005,06/09/2024,NOM-059-SSA1-2015,https://diariooficial.gob.mx/normasOficiales/9469/salud/salud.html,10.00005.txt,MX
10.00006,06/09/2024,PROY-NOM-011-ENER-2024,https://diariooficial.gob.mx/normasOficiales/9470/sener/sener.html,10.00006.txt,MX
10.00007,05/09/2024,PROY-NOM­004­ENER­2024,https://diariooficial.gob.mx/normasOficiales/9466/sener/sener.html,10.00007.txt,MX
10.00008,05/09/2024,PROY-NOM-010-ARTF-2024,https://diariooficial.gob.mx/normasOficiales/9467/sict1/sict1.html,10.00008.txt,MX
10.00009,05/09/2024,PROY-NOM-012-ARTF-2024,https://diariooficial.gob.mx/normasOficiales/9468/sict2/sict2.html,10.00009.txt,MX
10.00010,30/08/2024,PROY-NOM-012-CONAGUA-2015,https://diariooficial.gob.mx/normasOficiales/9465/semarnat/semarnat.html,10.00010.txt,MX
10.00011,27/08/2024,PROY-NOM-007-SEDATU-2024,https://diariooficial.gob.mx/normasOficiales/9464/sedatu/sedatu.html,10.00011.txt,MX
10.00012,23/08/2024,NOM-006-SEDATU-2024,https://diariooficial.gob.mx/normasOficiales/9463/sedatu/sedatu.html,10.00012.txt,MX
10.00013,15/08/2024,NOM-038-STPS-2024,https://diariooficial.gob.mx/normasOficiales/9462/stps/stps.html,10.00013.txt,MX
10.00014,02/08/2024,PROY-NOM-031-NUCL-2024,https://diariooficial.gob.mx/normasOficiales/9461/sener/sener.html,10.00014.txt,MX
10.00015,01/08/2024,PROY-NOM-018-NUCL-2024,https://diariooficial.gob.mx/normasOficiales/9460/sener/sener.html,10.00015.txt,MX
10.00016,31/07/2024,PROY-NOM-042-NUCL-2024,https://diariooficial.gob.mx/normasOficiales/9459/sener/sener.html,10.00016.txt,MX
10.00017,29/07/2024,NOM-002-1-SCT-SEMAR-ARTF/2023,https://diariooficial.gob.mx/normasOficiales/9458/sict/sict.html,10.00017.txt,MX
10.00018,26/07/2024,PROY-NOM-241-SSA1-2024,https://diariooficial.gob.mx/normasOficiales/9457/salud/salud.html,10.00018.txt,MX
10.00019,24/07/2024,PROY-NOM-240-SSA1-2024,https://diariooficial.gob.mx/normasOficiales/9455/salud/salud.html,10.00019.txt,MX
10.00020,24/07/2024,PROY-NOM-220-SSA1-2024,https://diariooficial.gob.mx/normasOficiales/9456/salud/salud.html,10.00020.txt,MX
10.00021,18/07/2024,PROY-NOM-020-SSA-2024,https://diariooficial.gob.mx/normasOficiales/9453/salud/salud.html,10.00021.txt,MX
10.00022,18/07/2024,PROY-NOM-006-SEDATU-2024,https://diariooficial.gob.mx/normasOficiales/9454/sedatu/sedatu.html,10.00022.txt,MX
10.00023,11/07/2024,NOM-053-SCT-2-2023,https://diariooficial.gob.mx/normasOficiales/9452/sict/sict.html,10.00023.txt,MX
